name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,Category
honda civic (auto),32,4,91.0,67.0,1965,15.7,82,japan,honda
datsun 310 gx,38,4,91.0,67.0,1995,16.2,82,japan,datsun
buick century limited,25,6,181.0,110.0,2945,16.4,82,usa,buick
oldsmobile cutlass ciera (diesel),38,6,262.0,85.0,3015,17.0,82,usa,oldsmobile
chrysler lebaron medallion,26,4,156.0,92.0,2585,14.5,82,usa,chrysler
ford granada l,22,6,232.0,112.0,2835,14.7,82,usa,ford
toyota celica gt,32,4,144.0,96.0,2665,13.9,82,japan,toyota
dodge charger 2.2,36,4,135.0,84.0,2370,13.0,82,usa,dodge
chevrolet camaro,27,4,151.0,90.0,2950,17.3,82,usa,chevrolet
ford mustang gl,27,4,140.0,86.0,2790,15.6,82,usa,ford
vw pickup,44,4,97.0,52.0,2130,24.6,82,europe,vw
dodge rampage,32,4,135.0,84.0,2295,11.6,82,usa,dodge
ford ranger,28,4,120.0,79.0,2625,18.6,82,usa,ford
chevy s-10,31,4,119.0,82.0,2720,19.4,82,usa,chevy
